creator_id,followers,following,engagement_rate,total_posts,account_age_days,tier,categories,platforms,languages,total_campaigns,successful_campaigns,success_rate,overall_rating,total_earnings,is_verified,bio,audience_age_18_24,audience_age_25_34,audience_age_35_44,audience_female_pct,audience_male_pct
45,3077,4506,0.0826,410,750,nano,"[""Entertainment""]","[""Facebook"", ""Twitter""]","[""Spanish""]",2,1,0.622,2.99,300.24,False,Passionate about Entertainment. Nano influencer.,0.3,0.35,0.2,46.8,53.2
46,50686,16231,0.0247,557,1372,mid,"[""Lifestyle""]","[""YouTube""]","[""Spanish""]",35,29,0.856,4.09,208764.66,False,Passionate about Lifestyle. Mid influencer.,0.3,0.35,0.2,46.7,53.3
47,21350,24311,0.0394,243,1587,micro,"[""Education"", ""Fashion"", ""Pets""]","[""YouTube""]","[""Hindi""]",20,8,0.404,1.85,13875.91,False,Passionate about Education & Fashion. Micro influencer.,0.3,0.35,0.2,75.4,24.6
48,14289,10234,0.0404,427,998,micro,"[""Lifestyle""]","[""Instagram""]","[""Spanish""]",22,17,0.793,3.93,15520.1,False,Passionate about Lifestyle. Micro influencer.,0.3,0.35,0.2,46.5,53.5
49,117022,8493,0.044,357,926,mid,"[""Beauty""]","[""YouTube""]","[""Spanish""]",26,21,0.836,4.53,156644.46,False,Passionate about Beauty. Mid influencer.,0.3,0.35,0.2,72.6,27.4
50,89267,16031,0.0249,275,692,mid,"[""Beauty"", ""Education"", ""Fitness""]","[""Facebook"", ""YouTube""]","[""Portuguese""]",19,15,0.804,3.91,54832.07,False,Passionate about Beauty & Education. Mid influencer.,0.3,0.35,0.2,71.2,28.8
51,56381,4763,0.0065,169,579,mid,"[""Business"", ""Travel""]","[""Facebook"", ""YouTube""]","[""Hindi""]",10,5,0.579,2.9,34983.13,False,Passionate about Business & Travel. Mid influencer.,0.261,0.348,0.261,46.3,53.7
52,160180,61983,0.0195,261,529,mid,"[""DIY""]","[""Twitter"", ""YouTube""]","[""Korean""]",14,7,0.564,2.8,45266.58,False,Passionate about DIY. Mid influencer.,0.3,0.35,0.2,48.8,51.2
53,1194,697,0.0183,252,1153,nano,"[""Art"", ""Travel"", ""Gaming""]","[""Instagram"", ""Twitter""]","[""Italian""]",4,2,0.57,2.61,236.09,False,Passionate about Art & Travel. Nano influencer.,0.435,0.261,0.174,40.5,59.5
54,81225,1645,0.0307,464,316,mid,"[""Art""]","[""Twitter""]","[""Korean""]",13,9,0.709,3.5,75506.37,False,Passionate about Art. Mid influencer.,0.3,0.35,0.2,51.5,48.5
55,15144,22475,0.0588,390,1345,micro,"[""Beauty"", ""Gaming"", ""Photography""]","[""Twitter"", ""TikTok""]","[""Spanish""]",13,8,0.649,3.47,10780.12,False,Passionate about Beauty & Gaming. Micro influencer.,0.435,0.261,0.174,82.5,17.5
56,99685,49442,0.0182,233,289,mid,"[""Lifestyle"", ""Travel""]","[""YouTube"", ""Facebook""]","[""Korean""]",4,1,0.453,2.19,8827.93,False,Passionate about Lifestyle & Travel. Mid influencer.,0.3,0.35,0.2,53.9,46.1
57,323124,96361,0.005,816,479,mid,"[""Technology"", ""Art""]","[""YouTube""]","[""Portuguese""]",15,11,0.77,3.51,82260.01,True,Passionate about Technology & Art. Mid influencer.,0.3,0.35,0.2,31.6,68.4
58,29647,47219,0.0582,698,1325,micro,"[""Entertainment"", ""Lifestyle""]","[""Instagram""]","[""Korean""]",16,9,0.58,3.15,11547.3,False,Passionate about Entertainment & Lifestyle. Micro influencer.,0.3,0.35,0.2,49.8,50.2
59,49440,19871,0.014,198,814,micro,"[""Pets"", ""Gaming"", ""Beauty""]","[""LinkedIn""]","[""Arabic""]",9,5,0.573,3.02,6868.91,False,Passionate about Pets & Gaming. Micro influencer.,0.435,0.261,0.174,67.8,32.2
60,2580,514,0.0193,360,1127,nano,"[""Fashion""]","[""Instagram"", ""YouTube""]","[""French""]",6,2,0.444,2.23,296.9,False,Passionate about Fashion. Nano influencer.,0.3,0.35,0.2,74.2,25.8
61,69901,2831,0.0196,130,526,mid,"[""Art"", ""Business""]","[""Twitter""]","[""German""]",10,8,0.866,4.66,36391.16,True,Passionate about Art & Business. Mid influencer.,0.261,0.348,0.261,49.6,50.4
62,27702,43593,0.0698,358,663,micro,"[""Health"", ""Beauty""]","[""YouTube""]","[""Japanese""]",13,5,0.426,2.1,3710.07,False,Passionate about Health & Beauty. Micro influencer.,0.231,0.269,0.269,84.7,15.3
63,7379,8585,0.0757,227,924,nano,"[""Fashion"", ""Health""]","[""TikTok""]","[""Korean"", ""Portuguese""]",7,4,0.709,3.7,1687.38,False,Passionate about Fashion & Health. Nano influencer.,0.231,0.269,0.269,78.0,22.0
64,162342,55411,0.0158,289,414,mid,"[""Art"", ""Pets"", ""Business""]","[""YouTube""]","[""German"", ""Portuguese""]",9,7,0.86,3.9,74222.97,False,Passionate about Art & Pets. Mid influencer.,0.261,0.348,0.261,47.6,52.4
65,99594,27672,0.0598,40,389,mid,"[""Travel"", ""Beauty"", ""Pets""]","[""Instagram""]","[""Italian"", ""English""]",8,4,0.516,2.77,20367.42,False,Passionate about Travel & Beauty. Mid influencer.,0.3,0.35,0.2,71.0,29.0
66,7476,13422,0.0161,442,560,nano,"[""Beauty""]","[""Facebook""]","[""Korean"", ""Arabic""]",2,1,0.703,3.8,357.45,False,Passionate about Beauty. Nano influencer.,0.3,0.35,0.2,73.7,26.3
67,137132,48584,0.0143,544,257,mid,"[""Parenting""]","[""YouTube"", ""Instagram""]","[""Arabic"", ""Spanish""]",7,4,0.67,3.24,27727.56,True,Passionate about Parenting. Mid influencer.,0.231,0.269,0.269,45.1,54.9
68,184742,37786,0.0304,285,279,mid,"[""Food"", ""Fitness""]","[""Facebook"", ""Instagram""]","[""German""]",9,6,0.706,3.22,16579.02,True,Passionate about Food & Fitness. Mid influencer.,0.3,0.35,0.2,61.3,38.7
69,78267,1171,0.0282,569,711,mid,"[""Health"", ""Gaming""]","[""Facebook""]","[""German"", ""English""]",11,7,0.704,3.51,22802.99,False,Passionate about Health & Gaming. Mid influencer.,0.435,0.261,0.174,41.9,58.1
70,573966,230278,0.0054,171,90,macro,"[""Photography""]","[""Instagram"", ""Twitter""]","[""Hindi""]",4,2,0.648,3.33,56509.0,False,Passionate about Photography. Macro influencer.,0.3,0.35,0.2,48.6,51.4
71,34905,37012,0.0372,119,425,micro,"[""DIY""]","[""Facebook""]","[""Italian""]",6,2,0.488,2.34,1868.46,False,Passionate about DIY. Micro influencer.,0.3,0.35,0.2,50.4,49.6
72,26141,19622,0.0655,177,637,micro,"[""Music"", ""Travel""]","[""LinkedIn""]","[""Italian""]",10,6,0.647,3.38,12104.21,False,Passionate about Music & Travel. Micro influencer.,0.435,0.261,0.174,53.8,46.2
73,34755,16895,0.026,180,1513,micro,"[""Lifestyle"", ""Music""]","[""Twitter"", ""YouTube""]","[""Portuguese"", ""Korean""]",19,10,0.541,2.49,13364.57,False,Passionate about Lifestyle & Music. Micro influencer.,0.435,0.261,0.174,50.1,49.9
74,48635,17286,0.0693,137,162,micro,"[""Education""]","[""Instagram"", ""LinkedIn""]","[""Korean""]",4,2,0.629,3.3,2485.96,False,Passionate about Education. Micro influencer.,0.3,0.35,0.2,45.8,54.2
75,3137,744,0.0275,271,942,nano,"[""Photography"", ""DIY""]","[""Instagram"", ""LinkedIn""]","[""Arabic""]",1,0,0.469,2.49,0.0,False,Passionate about Photography & DIY. Nano influencer.,0.3,0.35,0.2,54.8,45.2
76,220724,79424,0.0217,194,726,mid,"[""Travel""]","[""Facebook"", ""TikTok""]","[""French""]",19,15,0.814,3.92,29391.04,False,Passionate about Travel. Mid influencer.,0.3,0.35,0.2,45.0,55.0
77,10019,6966,0.0728,154,536,micro,"[""Finance""]","[""Instagram"", ""YouTube""]","[""Italian""]",5,3,0.608,3.2,4930.21,False,Passionate about Finance. Micro influencer.,0.261,0.348,0.261,48.6,51.4
78,1000,199,0.0513,112,1395,nano,"[""Sports""]","[""YouTube"", ""Twitter""]","[""Arabic""]",8,3,0.448,2.41,584.94,False,Passionate about Sports. Nano influencer.,0.3,0.35,0.2,45.1,54.9
79,25773,3063,0.0113,34,618,micro,"[""Sports""]","[""Facebook"", ""LinkedIn""]","[""English""]",6,3,0.659,3.21,2306.17,False,Passionate about Sports. Micro influencer.,0.3,0.35,0.2,52.8,47.2
80,1199,1199,0.0225,78,898,nano,"[""Pets""]","[""TikTok""]","[""Spanish""]",4,3,0.776,3.69,773.58,False,Passionate about Pets. Nano influencer.,0.3,0.35,0.2,46.5,53.5
81,10376,10906,0.0674,373,523,micro,"[""Technology""]","[""TikTok""]","[""Spanish""]",3,1,0.516,2.82,1980.75,False,Passionate about Technology. Micro influencer.,0.3,0.35,0.2,33.7,66.3
82,48269,91374,0.0165,182,831,micro,"[""Gaming""]","[""LinkedIn""]","[""Arabic""]",8,4,0.592,2.96,2164.64,False,Passionate about Gaming. Micro influencer.,0.435,0.261,0.174,31.4,68.6
83,17942,5833,0.0367,194,1030,micro,"[""Technology""]","[""TikTok"", ""LinkedIn""]","[""Hindi""]",13,7,0.593,3.14,8260.36,False,Passionate about Technology. Micro influencer.,0.3,0.35,0.2,27.0,73.0
84,19721,21332,0.0682,739,275,micro,"[""Travel"", ""Education"", ""Photography""]","[""LinkedIn"", ""TikTok""]","[""Arabic""]",3,1,0.492,2.31,678.56,False,Passionate about Travel & Education. Micro influencer.,0.3,0.35,0.2,48.3,51.7
85,100742,21998,0.0345,478,787,mid,"[""Business""]","[""TikTok""]","[""English""]",36,26,0.749,3.92,184036.3,False,Passionate about Business. Mid influencer.,0.261,0.348,0.261,48.3,51.7
86,18095,4506,0.0257,72,294,micro,"[""Fitness"", ""Art""]","[""TikTok"", ""Instagram""]","[""English""]",5,3,0.649,3.37,4095.33,False,Passionate about Fitness & Art. Micro influencer.,0.3,0.35,0.2,67.1,32.9
87,6972,7271,0.0527,125,443,nano,"[""Education""]","[""YouTube""]","[""Portuguese"", ""French""]",0,0,0.439,2.21,0.0,False,Passionate about Education. Nano influencer.,0.3,0.35,0.2,50.5,49.5
88,23865,32889,0.0323,174,1049,micro,"[""Entertainment"", ""Pets""]","[""LinkedIn"", ""Twitter""]","[""Arabic""]",16,6,0.395,2.02,8772.09,False,Passionate about Entertainment & Pets. Micro influencer.,0.3,0.35,0.2,51.9,48.1
89,28424,13589,0.0293,599,403,micro,"[""Fashion""]","[""Instagram""]","[""Spanish"", ""French""]",2,1,0.795,3.85,820.21,False,Passionate about Fashion. Micro influencer.,0.3,0.35,0.2,84.4,15.6
90,47345,60835,0.0282,105,1089,micro,"[""Pets""]","[""Instagram"", ""TikTok""]","[""Hindi""]",15,12,0.858,3.95,23811.23,False,Passionate about Pets. Micro influencer.,0.3,0.35,0.2,51.8,48.2
91,34022,57688,0.0473,369,243,micro,"[""Pets""]","[""YouTube""]","[""Japanese""]",4,2,0.638,3.33,1436.99,False,Passionate about Pets. Micro influencer.,0.3,0.35,0.2,47.7,52.3
92,23127,37689,0.0197,97,711,micro,"[""Technology"", ""Beauty""]","[""TikTok""]","[""Italian""]",13,11,0.848,4.52,10547.91,False,Passionate about Technology & Beauty. Micro influencer.,0.3,0.35,0.2,83.5,16.5
93,20656,4832,0.0086,365,238,micro,"[""Beauty"", ""Finance""]","[""YouTube""]","[""German""]",2,0,0.338,1.79,0.0,False,Passionate about Beauty & Finance. Micro influencer.,0.261,0.348,0.261,82.5,17.5
94,10126,17133,0.0101,341,941,micro,"[""Gaming""]","[""TikTok"", ""Facebook""]","[""Japanese""]",14,6,0.486,2.2,9794.12,False,Passionate about Gaming. Micro influencer.,0.435,0.261,0.174,37.2,62.8
95,15565,14241,0.029,703,811,micro,"[""Photography"", ""Technology""]","[""YouTube""]","[""French"", ""Hindi""]",12,9,0.763,3.54,7307.15,False,Passionate about Photography & Technology. Micro influencer.,0.3,0.35,0.2,25.4,74.6
96,6850,7656,0.0134,332,810,nano,"[""Art""]","[""Instagram"", ""YouTube""]","[""Italian""]",4,3,0.77,3.52,1433.08,False,Passionate about Art. Nano influencer.,0.3,0.35,0.2,48.8,51.2
97,273557,52671,0.005,237,361,mid,"[""Art"", ""Lifestyle""]","[""TikTok"", ""YouTube""]","[""Spanish""]",7,3,0.524,2.78,19188.5,True,Passionate about Art & Lifestyle. Mid influencer.,0.3,0.35,0.2,53.9,46.1
98,50362,16109,0.0322,251,196,mid,"[""Health""]","[""Instagram""]","[""Korean""]",5,1,0.396,2.09,3823.82,False,Passionate about Health. Mid influencer.,0.231,0.269,0.269,46.9,53.1
99,103961,39798,0.0439,139,1565,mid,"[""Lifestyle""]","[""YouTube""]","[""Korean"", ""Italian""]",37,26,0.716,3.86,233177.94,False,Passionate about Lifestyle. Mid influencer.,0.3,0.35,0.2,45.7,54.3
100,10754,17089,0.0166,66,962,micro,"[""Sports""]","[""YouTube"", ""LinkedIn""]","[""English""]",16,9,0.564,3.03,13366.78,False,Passionate about Sports. Micro influencer.,0.3,0.35,0.2,47.3,52.7
101,46107,9284,0.0315,438,1358,micro,"[""Travel"", ""Health"", ""Education""]","[""TikTok""]","[""Spanish""]",20,16,0.824,4.2,21630.75,True,Passionate about Travel & Health. Micro influencer.,0.231,0.269,0.269,52.8,47.2
102,129285,26752,0.0268,368,114,mid,"[""Music"", ""Finance""]","[""LinkedIn""]","[""Arabic""]",1,0,0.638,3.44,0.0,False,Passionate about Music & Finance. Mid influencer.,0.435,0.261,0.174,53.0,47.0
103,55992,22974,0.0261,235,345,mid,"[""Health""]","[""LinkedIn""]","[""Arabic""]",9,5,0.657,3.19,17260.87,False,Passionate about Health. Mid influencer.,0.231,0.269,0.269,46.5,53.5
104,2044,2167,0.0438,318,153,nano,"[""Education""]","[""Instagram""]","[""Spanish""]",0,0,0.693,3.62,0.0,False,Passionate about Education. Nano influencer.,0.3,0.35,0.2,54.9,45.1
105,6145,10401,0.0312,652,488,nano,"[""Music""]","[""YouTube"", ""Facebook""]","[""Portuguese""]",2,1,0.744,3.52,280.65,False,Passionate about Music. Nano influencer.,0.435,0.261,0.174,47.2,52.8
106,15956,12950,0.046,346,328,micro,"[""Beauty"", ""Gaming""]","[""Facebook"", ""Twitter""]","[""Italian""]",4,2,0.524,2.44,1675.83,False,Passionate about Beauty & Gaming. Micro influencer.,0.435,0.261,0.174,69.2,30.8
107,32716,29999,0.0566,348,1344,micro,"[""Education""]","[""Twitter""]","[""Hindi""]",18,9,0.539,2.45,10203.1,False,Passionate about Education. Micro influencer.,0.3,0.35,0.2,45.5,54.5
108,9506,14510,0.0497,323,421,nano,"[""Parenting"", ""Gaming""]","[""Twitter"", ""Facebook""]","[""German""]",0,0,0.726,3.29,0.0,False,Passionate about Parenting & Gaming. Nano influencer.,0.435,0.261,0.174,42.0,58.0
109,152200,24781,0.0249,179,506,mid,"[""Music""]","[""Instagram"", ""Twitter""]","[""English"", ""Arabic""]",9,4,0.455,2.27,30090.42,False,Passionate about Music. Mid influencer.,0.435,0.261,0.174,53.2,46.8
110,499341,51631,0.0145,189,233,mid,"[""Pets""]","[""LinkedIn"", ""YouTube""]","[""Italian""]",5,3,0.748,3.92,29799.52,True,Passionate about Pets. Mid influencer.,0.3,0.35,0.2,48.3,51.7
111,41775,9514,0.0155,598,938,micro,"[""Art"", ""Fitness""]","[""LinkedIn""]","[""Italian""]",13,7,0.569,2.59,8566.25,False,Passionate about Art & Fitness. Micro influencer.,0.3,0.35,0.2,67.4,32.6
112,265320,13663,0.0401,87,30,mid,"[""Photography""]","[""TikTok"", ""Instagram""]","[""Portuguese"", ""Arabic""]",0,0,0.469,2.33,0.0,True,Passionate about Photography. Mid influencer.,0.3,0.35,0.2,49.2,50.8
113,90701,18826,0.0247,176,831,mid,"[""Sports""]","[""LinkedIn""]","[""Japanese""]",21,16,0.773,3.6,87609.74,False,Passionate about Sports. Mid influencer.,0.3,0.35,0.2,50.0,50.0
114,50914,17409,0.0193,185,1051,mid,"[""Education"", ""Health""]","[""LinkedIn""]","[""Portuguese"", ""Arabic""]",27,17,0.644,3.23,62782.59,False,Passionate about Education & Health. Mid influencer.,0.231,0.269,0.269,54.7,45.3
115,9938,19693,0.0517,196,1763,nano,"[""Technology""]","[""YouTube"", ""Twitter""]","[""Japanese""]",7,5,0.801,4.14,2028.62,False,Passionate about Technology. Nano influencer.,0.3,0.35,0.2,29.6,70.4
116,29463,4550,0.0441,190,567,micro,"[""Food""]","[""Facebook"", ""LinkedIn""]","[""Portuguese""]",6,3,0.561,2.65,6530.0,False,Passionate about Food. Micro influencer.,0.3,0.35,0.2,58.2,41.8
117,35724,14525,0.0308,79,942,micro,"[""Health""]","[""Facebook""]","[""English""]",11,7,0.707,3.32,5555.53,False,Passionate about Health. Micro influencer.,0.231,0.269,0.269,47.4,52.6
118,78808,14708,0.044,216,447,mid,"[""Sports""]","[""TikTok"", ""YouTube""]","[""Japanese"", ""Italian""]",15,9,0.656,3.36,36792.38,False,Passionate about Sports. Mid influencer.,0.3,0.35,0.2,51.9,48.1
119,329184,44105,0.0334,170,418,mid,"[""Entertainment"", ""Photography""]","[""Twitter"", ""YouTube""]","[""Arabic""]",12,9,0.791,3.74,35178.25,False,Passionate about Entertainment & Photography. Mid influencer.,0.3,0.35,0.2,45.4,54.6
120,23641,13979,0.0526,279,488,micro,"[""Business""]","[""LinkedIn""]","[""French""]",6,4,0.731,3.59,7295.11,False,Passionate about Business. Micro influencer.,0.261,0.348,0.261,51.8,48.2
