creator_id,name,follower_count,tier,engagement_rate,categories,platforms,primary_language,city,audience_age_18_24,audience_age_25_34,audience_age_35_44,audience_female_pct,audience_male_pct,total_campaigns,successful_campaigns,success_rate,overall_rating,is_verified,total_earnings,avg_response_time_hours,completion_rate,created_at
IN_CR_00043,Creator_43,732,nano,11.79,Education & Skills,"YouTube,Chingari",Hindi,Bangalore,27.4,35.8,36.8,44.1,55.9,4,3,75.0,4.88,False,32218.494539760155,30.12043557987733,94.3,2024-02-19T00:00:00
IN_CR_00044,Creator_44,20322,micro,14.14,"Entertainment & Comedy,Sports & Cricket","Chingari,ShareChat",Marathi,Mumbai,74.6,80.8,0.0,50.4,49.6,4,3,75.0,4.87,False,11574.56999904508,0.07328832306133959,75.9,2024-11-27T00:00:00
IN_CR_00045,Creator_45,1031,nano,7.47,"Technology & Gadgets,Entertainment & Comedy,Beauty & Makeup","Chingari,Facebook",Bengali,Pune,40.8,48.9,10.2,68.0,32.0,5,3,60.0,4.52,False,9790.317722608148,10.503700715532698,76.8,2023-12-17T00:00:00
IN_CR_00046,Creator_46,888,nano,19.48,"Gaming,Sports & Cricket,Finance & Investment","YouTube,Twitter",Marathi,Bangalore,65.5,63.5,0.0,17.2,82.8,0,0,0.0,3.82,False,0.0,5.566571934507028,79.0,2025-05-06T00:00:00
IN_CR_00047,Creator_47,3423,nano,16.66,Health & Fitness,"TikTok (historical),Facebook",English,Kolkata,73.6,72.3,0.0,48.7,51.3,3,2,66.7,3.99,False,21438.517333627682,12.321974312271387,73.7,2024-01-31T00:00:00
IN_CR_00048,Creator_48,353601,mid,8.36,Finance & Investment,"LinkedIn,Josh",Hindi,Ahmedabad,68.5,42.7,0.0,56.1,43.9,4,3,75.0,3.87,False,2074.033856339723,8.332260624630187,78.5,2025-03-19T00:00:00
IN_CR_00049,Creator_49,7492,nano,41.57,"Regional Content,Health & Fitness",Instagram,Marathi,Kochi,59.0,58.1,0.0,48.7,51.3,11,9,81.8,3.66,False,43757.771427989646,3.3852906965269156,89.2,2023-12-18T00:00:00
IN_CR_00050,Creator_50,19016,micro,33.66,"Finance & Investment,Travel & Tourism",Facebook,Punjabi,Hyderabad,51.0,67.9,0.0,32.6,67.4,4,2,50.0,3.87,False,7649.17414393177,14.195073325996187,74.4,2024-07-01T00:00:00
IN_CR_00051,Creator_51,21280,micro,16.25,"Gaming,Fashion & Lifestyle,Technology & Gadgets","Facebook,Instagram",Hindi,Jaipur,64.6,85.2,0.0,78.9,21.1,3,1,33.3,2.91,True,3256.2775279159064,8.654966922540911,65.0,2025-07-03T00:00:00
IN_CR_00052,Creator_52,7981,nano,11.12,"Education & Skills,Travel & Tourism,Gaming","Twitter,LinkedIn,TikTok (historical)",Hindi,Hyderabad,30.6,10.0,59.4,36.6,63.4,4,3,75.0,4.3,False,1502.7822605146864,3.4124120241816995,86.5,2025-05-28T00:00:00
IN_CR_00053,Creator_53,56835,mid,4.35,"Sports & Cricket,Beauty & Makeup",LinkedIn,Hindi,Jaipur,45.6,73.9,0.0,84.5,15.5,6,5,83.3,4.12,False,2075.050458789497,3.7338983600347913,95.1,2023-10-01T00:00:00
IN_CR_00054,Creator_54,7135,nano,13.65,Education & Skills,"Moj,Twitter",Bengali,Chennai,74.7,49.5,0.0,63.5,36.5,4,3,75.0,4.79,False,1804.3991747356854,5.586411104385032,89.7,2024-11-30T00:00:00
IN_CR_00055,Creator_55,7745,nano,21.84,Sports & Cricket,"Chingari,LinkedIn",Hindi,Lucknow,84.3,40.5,0.0,57.3,42.7,2,1,50.0,4.12,True,3270.7604768786414,4.096158257813157,87.8,2025-01-11T00:00:00
IN_CR_00056,Creator_56,6919,nano,12.88,Sports & Cricket,"YouTube,Twitter,Chingari",Telugu,Lucknow,83.7,72.9,0.0,32.2,67.8,6,4,66.7,4.5,False,34822.410246486514,4.907784417717895,68.7,2023-03-02T00:00:00
IN_CR_00057,Creator_57,28011,micro,23.41,"Finance & Investment,Entertainment & Comedy","YouTube,Twitter,Chingari",English,Mumbai,91.3,34.1,0.0,36.7,63.3,5,4,80.0,4.55,True,18608.999137190673,25.181090433649715,98.9,2023-07-13T00:00:00
IN_CR_00058,Creator_58,10755,micro,12.55,Fashion & Lifestyle,"ShareChat,LinkedIn",Hindi,Bangalore,71.1,33.3,0.0,57.8,42.2,9,7,77.8,3.11,False,7226.228670433733,2.9035233239105995,88.6,2024-03-01T00:00:00
IN_CR_00059,Creator_59,8340,nano,1.92,"Travel & Tourism,Fashion & Lifestyle",YouTube,Tamil,Mumbai,78.7,21.6,0.0,64.5,35.5,2,1,50.0,3.5,False,2308.4131602427265,72.52976623251881,80.8,2023-01-07T00:00:00
IN_CR_00060,Creator_60,3229,nano,14.48,"Health & Fitness,Fashion & Lifestyle","LinkedIn,TikTok (historical)",English,Lucknow,60.3,57.7,0.0,58.1,41.9,5,4,80.0,4.65,False,144725.6458690906,13.22279352373458,80.1,2023-08-27T00:00:00
IN_CR_00061,Creator_61,325484,mid,5.81,Health & Fitness,"ShareChat,YouTube",English,Mumbai,53.3,72.7,0.0,37.1,62.9,5,3,60.0,2.88,True,7133.361308507865,1.4583058601209136,72.5,2023-06-06T00:00:00
IN_CR_00062,Creator_62,500,nano,4.98,Music & Dance,Facebook,Gujarati,Ahmedabad,63.6,33.4,3.0,84.0,16.0,5,3,60.0,4.32,False,196778.9695238559,20.435512488620734,62.7,2024-12-09T00:00:00
IN_CR_00063,Creator_63,9417,nano,5.07,Gaming,Moj,Hindi,Bangalore,78.6,31.6,0.0,66.8,33.2,3,2,66.7,3.74,False,88030.31211265667,17.15421296284638,88.1,2024-02-15T00:00:00
IN_CR_00064,Creator_64,721,nano,31.63,"Food & Cooking,Devotional & Spirituality",TikTok (historical),English,Bangalore,33.9,30.2,35.9,33.4,66.6,3,2,66.7,3.34,False,1900.737018890296,0.36679557567152654,81.6,2025-01-15T00:00:00
IN_CR_00065,Creator_65,16339,micro,21.3,Devotional & Spirituality,Moj,Hindi,Mumbai,67.7,71.6,0.0,45.1,54.9,6,5,83.3,4.05,False,153900.6453425461,4.260523336438743,92.0,2025-05-19T00:00:00
IN_CR_00066,Creator_66,2780,nano,16.45,Health & Fitness,"Josh,Twitter",English,Lucknow,61.0,60.0,0.0,37.5,62.5,8,4,50.0,4.3,False,24283.656012429274,3.498002117719376,55.7,2023-12-07T00:00:00
IN_CR_00067,Creator_67,7460,nano,5.46,Health & Fitness,"Instagram,Chingari",Bengali,Bangalore,71.7,73.6,0.0,46.9,53.1,3,2,66.7,4.56,False,11404.357457282236,2.9348004531577274,97.4,2024-08-12T00:00:00
IN_CR_00068,Creator_68,500,nano,8.51,Fashion & Lifestyle,"Instagram,Josh",Hindi,Pune,45.3,64.1,0.0,92.5,7.5,1,0,0.0,4.66,False,0.0,35.19449702982237,92.2,2025-07-31T00:00:00
IN_CR_00069,Creator_69,53799,mid,12.68,Finance & Investment,Facebook,English,Jaipur,62.3,45.5,0.0,48.4,51.6,4,2,50.0,4.5,False,2070.057056267882,3.6033473838337473,62.6,2023-08-10T00:00:00
IN_CR_00070,Creator_70,500,nano,5.32,"Fashion & Lifestyle,Beauty & Makeup",YouTube,Tamil,Hyderabad,52.8,55.3,0.0,46.9,53.1,6,5,83.3,4.24,False,32441.74238133651,6.355830434458811,83.6,2024-08-18T00:00:00
IN_CR_00071,Creator_71,12531,micro,9.84,"Music & Dance,Finance & Investment,News & Current Affairs",Twitter,Telugu,Mumbai,71.0,24.7,4.3,62.4,37.6,3,2,66.7,4.29,False,12967.64765535739,18.031536598893403,80.0,2024-03-25T00:00:00
IN_CR_00072,Creator_72,38693,micro,6.87,"Food & Cooking,Technology & Gadgets,Fashion & Lifestyle","Josh,Instagram",English,Delhi,57.3,25.5,17.2,68.9,31.1,6,3,50.0,4.21,False,1835.8264344976963,37.93624283728469,55.8,2023-07-01T00:00:00
IN_CR_00073,Creator_73,1327,nano,11.68,Regional Content,"Moj,YouTube",Gujarati,Ahmedabad,64.2,28.6,7.3,79.4,20.6,3,2,66.7,3.11,True,705.28757899213,10.570726417126599,70.6,2023-08-01T00:00:00
IN_CR_00074,Creator_74,7281,nano,33.07,"Regional Content,Fashion & Lifestyle","Twitter,Facebook",Malayalam,Ahmedabad,87.0,31.0,0.0,65.1,34.9,6,4,66.7,4.81,False,23930.094752009554,12.537451045192118,70.1,2024-01-04T00:00:00
IN_CR_00075,Creator_75,7331,nano,3.91,"Travel & Tourism,Gaming","TikTok (historical),Instagram",English,Hyderabad,64.4,86.9,0.0,30.6,69.4,5,4,80.0,4.34,False,9437.39730228748,0.12658905148290836,85.8,2023-04-24T00:00:00
IN_CR_00076,Creator_76,10863,micro,4.09,"Travel & Tourism,Music & Dance,News & Current Affairs","Josh,YouTube",Hindi,Pune,67.7,44.0,0.0,53.0,47.0,2,1,50.0,4.12,False,1934.1972580003455,36.542929488070186,86.2,2024-02-26T00:00:00
IN_CR_00077,Creator_77,5465,nano,10.48,News & Current Affairs,"TikTok (historical),YouTube,Josh",Tamil,Delhi,63.9,45.3,0.0,35.2,64.8,5,3,60.0,4.82,True,3336.1395937483485,4.841362239651767,63.7,2025-09-10T00:00:00
IN_CR_00078,Creator_78,67982,mid,4.03,Sports & Cricket,"Instagram,Chingari",Tamil,Kolkata,93.0,84.0,0.0,31.2,68.8,4,3,75.0,4.41,True,144796.28702798183,14.42128134638068,91.2,2024-12-23T00:00:00
IN_CR_00079,Creator_79,2760,nano,37.55,Entertainment & Comedy,"YouTube,Moj,Chingari",English,Jaipur,39.9,31.4,28.7,72.9,27.1,5,3,60.0,3.6,False,1258.8076634633444,10.380832207660657,63.0,2024-02-02T00:00:00
IN_CR_00080,Creator_80,3880,nano,16.73,Beauty & Makeup,"Instagram,ShareChat",Punjabi,Lucknow,76.4,42.0,0.0,46.4,53.6,3,2,66.7,3.16,False,18149.906879214737,19.02034023134663,89.3,2024-07-05T00:00:00
IN_CR_00081,Creator_81,6904,nano,13.97,"Music & Dance,Beauty & Makeup,News & Current Affairs","Josh,Instagram",Bengali,Pune,83.5,44.4,0.0,56.7,43.3,3,2,66.7,4.5,False,147701.58323867904,9.55305103497477,87.2,2025-03-05T00:00:00
IN_CR_00082,Creator_82,912,nano,2.05,Gaming,"Josh,Facebook,Moj,ShareChat",Hindi,Delhi,44.8,50.3,4.8,43.3,56.7,5,4,80.0,4.76,False,15479.17750377474,6.856726408762233,88.8,2023-11-06T00:00:00
IN_CR_00083,Creator_83,22700,micro,31.98,"Finance & Investment,Food & Cooking,Health & Fitness",Twitter,Marathi,Pune,69.1,68.4,0.0,59.7,40.3,5,4,80.0,3.96,False,6290.146780151847,0.007177412058154628,89.4,2025-07-24T00:00:00
IN_CR_00084,Creator_84,1107,nano,13.57,News & Current Affairs,"Chingari,Josh",Telugu,Bangalore,39.6,35.2,25.2,58.5,41.5,5,4,80.0,2.79,False,6457.0145162829,2.032010062368717,86.2,2024-04-28T00:00:00
IN_CR_00085,Creator_85,3658,nano,16.47,"Gaming,Entertainment & Comedy","Facebook,Chingari,TikTok (historical)",Hindi,Pune,41.1,55.4,3.5,26.6,73.4,6,5,83.3,4.44,False,17214.651658446735,23.061424187341146,85.4,2024-11-05T00:00:00
IN_CR_00086,Creator_86,1818,nano,9.14,"Entertainment & Comedy,Food & Cooking",Twitter,Bengali,Chennai,54.5,69.6,0.0,30.4,69.6,9,7,77.8,3.65,False,177452.20962432167,16.240225370927142,84.9,2024-07-08T00:00:00
IN_CR_00087,Creator_87,94436,mid,2.36,Music & Dance,"Facebook,Chingari",Hindi,Lucknow,72.1,47.5,0.0,64.7,35.3,3,2,66.7,4.0,False,18684.069703665813,23.13485966287736,83.9,2025-04-06T00:00:00
IN_CR_00088,Creator_88,16081,micro,15.26,"Sports & Cricket,Music & Dance,Education & Skills",ShareChat,Telugu,Kolkata,36.6,71.1,0.0,75.0,25.0,9,7,77.8,4.07,False,17678.820556855862,21.725114315708808,79.1,2025-02-15T00:00:00
IN_CR_00089,Creator_89,3287,nano,11.3,Education & Skills,TikTok (historical),English,Mumbai,37.0,47.2,15.8,68.9,31.1,7,6,85.7,4.17,False,38304.49563332844,1.4429775173481667,93.2,2025-07-17T00:00:00
IN_CR_00090,Creator_90,601,nano,12.13,Technology & Gadgets,"Josh,Instagram,Facebook",Marathi,Kochi,72.8,59.8,0.0,21.9,78.1,1,0,0.0,4.21,False,0.0,11.648529720839338,87.9,2024-08-19T00:00:00
IN_CR_00091,Creator_91,661,nano,4.96,Education & Skills,"Twitter,TikTok (historical)",Hindi,Bangalore,74.0,61.9,0.0,18.6,81.4,3,2,66.7,4.23,False,517.7470711037707,8.510067398208385,81.9,2023-11-26T00:00:00
IN_CR_00092,Creator_92,19178,micro,23.34,"Regional Content,Devotional & Spirituality","YouTube,ShareChat,Facebook",Hindi,Hyderabad,78.7,47.8,0.0,47.1,52.9,8,7,87.5,4.42,True,6528.925383724979,0.2650666202247435,88.5,2025-05-21T00:00:00
IN_CR_00093,Creator_93,11740,micro,16.61,"Food & Cooking,Technology & Gadgets","Twitter,ShareChat",Marathi,Mumbai,66.7,45.9,0.0,50.4,49.6,7,6,85.7,2.85,False,23634.909692577887,37.440085765277715,87.8,2023-10-23T00:00:00
IN_CR_00094,Creator_94,500,nano,25.14,Beauty & Makeup,LinkedIn,English,Kochi,54.5,39.9,5.6,77.3,22.7,7,5,71.4,4.35,False,268839.03310743556,1.7954971336072352,80.7,2024-07-09T00:00:00
IN_CR_00095,Creator_95,9295,nano,10.5,Fashion & Lifestyle,"Chingari,Josh,TikTok (historical),ShareChat",Hindi,Pune,77.7,49.0,0.0,65.4,34.6,7,6,85.7,4.2,False,139554.96365462936,4.794618381258144,89.9,2025-03-02T00:00:00
IN_CR_00096,Creator_96,60396,mid,28.45,Gaming,"Moj,ShareChat,LinkedIn,Facebook",Hindi,Ahmedabad,45.0,35.0,20.0,26.4,73.6,5,1,20.0,4.36,False,546.3919907214641,1.3072916659080318,32.7,2025-04-17T00:00:00
IN_CR_00097,Creator_97,11348,micro,6.37,Entertainment & Comedy,"ShareChat,Moj,YouTube,Instagram",English,Chennai,51.5,27.5,21.0,64.2,35.8,4,3,75.0,4.03,False,11605.847741066278,35.22246563999637,77.7,2023-01-11T00:00:00
IN_CR_00098,Creator_98,2271,nano,1.79,Finance & Investment,"Twitter,YouTube,Josh",Hindi,Ahmedabad,66.4,13.3,20.2,36.2,63.8,6,5,83.3,4.36,False,51318.72302517808,4.009879971431204,83.5,2023-01-31T00:00:00
IN_CR_00099,Creator_99,151180,mid,11.94,"Travel & Tourism,Music & Dance","Instagram,Josh,Facebook",Hindi,Jaipur,72.6,76.9,0.0,53.6,46.4,5,4,80.0,4.0,False,72334.69451080443,16.869516776686396,93.1,2024-12-22T00:00:00
IN_CR_00100,Creator_100,500,nano,15.12,"Regional Content,Devotional & Spirituality,Sports & Cricket","YouTube,Josh",Hindi,Delhi,52.0,58.3,0.0,86.6,13.4,2,1,50.0,4.6,False,371.1049715222371,3.8594135239190486,89.4,2024-04-22T00:00:00
IN_CR_00101,Creator_101,500,nano,23.73,"Education & Skills,News & Current Affairs",Josh,Hindi,Lucknow,69.5,77.9,0.0,43.3,56.7,3,2,66.7,3.49,False,5914.254271979842,6.514592542628931,89.3,2024-07-01T00:00:00
IN_CR_00102,Creator_102,3365,nano,17.57,"Entertainment & Comedy,Fashion & Lifestyle","Josh,Moj,TikTok (historical)",English,Kochi,62.8,39.4,0.0,54.2,45.8,1,0,0.0,3.18,False,0.0,15.193079323749014,78.0,2024-05-09T00:00:00
IN_CR_00103,Creator_103,847,nano,2.04,Entertainment & Comedy,"LinkedIn,Moj,ShareChat,Chingari",Hindi,Chandigarh,68.5,40.7,0.0,71.9,28.1,5,3,60.0,3.2,False,14304.755467155748,4.3910507308122,68.5,2025-09-16T00:00:00
IN_CR_00104,Creator_104,500,nano,5.91,"Entertainment & Comedy,Music & Dance","Moj,ShareChat",Hindi,Bangalore,45.9,40.9,13.3,51.6,48.4,4,3,75.0,3.17,False,9782.60234391162,0.5473525797946148,87.4,2023-05-28T00:00:00
IN_CR_00105,Creator_105,500,nano,19.93,"Technology & Gadgets,Music & Dance","Twitter,Josh,Chingari,Facebook",English,Jaipur,60.7,62.8,0.0,39.5,60.5,1,0,0.0,4.43,False,0.0,17.28394192102645,95.2,2024-05-05T00:00:00
IN_CR_00106,Creator_106,534,nano,11.01,"Regional Content,Gaming","LinkedIn,YouTube",Hindi,Pune,76.8,46.6,0.0,12.0,88.0,5,3,60.0,3.98,True,835.0755357929586,6.5146700696801965,79.0,2025-03-03T00:00:00
