campaign_id,category,platform,industry,budget,duration_days,start_date,end_date,min_followers,min_engagement,deliverables,content_rights,target_age_group,target_gender,brand_total_campaigns,brand_avg_rating,brand_completion_rate,applications_count
22,Photography,YouTube,Real Estate,530,32,2026-02-05,2026-03-09,5000,0.046,"[""Story"", ""Blog""]",False,45-54,Male,5,2.46,0.954,45
23,DIY,LinkedIn,Home & Garden,1883,48,2025-12-21,2026-02-07,1000,0.02,"[""Blog""]",False,45-54,Female,13,2.92,0.98,57
24,Fashion,YouTube,Beauty & Cosmetics,1114,8,2025-12-09,2025-12-17,5000,0.045,"[""Reel"", ""Post""]",True,25-34,Male,9,4.2,0.933,100
25,Fitness,Instagram,Home & Garden,1542,16,2026-01-06,2026-01-22,5000,0.013,"[""Blog""]",False,13-17,Female,6,3.67,0.929,14
26,Business,Instagram,Automotive,2278,15,2025-12-29,2026-01-13,5000,0.012,"[""Blog""]",False,18-24,Male,8,4.76,0.803,61
27,Education,LinkedIn,Real Estate,1066,21,2026-01-17,2026-02-07,5000,0.047,"[""Story"", ""Blog"", ""Video"", ""Reel"", ""Post""]",True,35-44,Female,8,4.69,0.832,11
28,Finance,TikTok,Beauty & Cosmetics,698,38,2025-12-08,2026-01-15,5000,0.019,"[""Video"", ""Blog"", ""Post"", ""Story""]",True,18-24,Female,7,4.65,0.827,16
29,Finance,Twitter,Food & Beverage,802,7,2026-01-09,2026-01-16,50000,0.036,"[""Reel"", ""Blog"", ""Story"", ""Post""]",True,25-34,Female,8,2.78,0.57,21
30,Gaming,YouTube,Home & Garden,28298,9,2025-12-14,2025-12-23,5000,0.026,"[""Video""]",False,35-44,Female,10,3.3,0.856,27
31,Gaming,TikTok,Home & Garden,2865,9,2026-01-03,2026-01-12,50000,0.015,"[""Story"", ""Blog""]",False,65+,All,16,2.6,0.846,8
32,Technology,Facebook,Beauty & Cosmetics,2642,41,2026-01-23,2026-03-05,1000,0.032,"[""Story"", ""Video""]",False,55-64,Male,10,4.51,0.659,51
33,Technology,Instagram,Health & Wellness,1510,64,2026-02-03,2026-04-08,5000,0.021,"[""Post""]",False,55-64,Male,11,4.37,0.635,21
34,Travel,TikTok,Sports,700,12,2026-01-23,2026-02-04,1000,0.032,"[""Story"", ""Blog""]",False,45-54,Male,8,4.25,0.814,95
35,Art,YouTube,Finance,2134,26,2025-11-29,2025-12-25,50000,0.038,"[""Blog"", ""Reel""]",True,45-54,Male,19,3.83,0.621,30
36,Sports,Twitter,Finance,7815,24,2025-11-24,2025-12-18,1000,0.041,"[""Story"", ""Blog""]",False,55-64,All,18,2.64,0.7,59
37,Fitness,YouTube,Travel & Tourism,2306,32,2025-11-17,2025-12-19,100000,0.036,"[""Blog"", ""Post""]",True,18-24,Female,10,3.42,0.99,19
38,Gaming,LinkedIn,Travel & Tourism,532,29,2026-01-08,2026-02-06,10000,0.025,"[""Post""]",False,18-24,Female,7,2.91,0.753,18
39,Finance,Facebook,Food & Beverage,4638,58,2026-01-10,2026-03-09,1000,0.016,"[""Blog"", ""Reel"", ""Story""]",False,35-44,All,9,3.41,0.957,26
40,Fitness,TikTok,Gaming,641,37,2025-12-13,2026-01-19,10000,0.021,"[""Story"", ""Post"", ""Reel"", ""Video""]",False,35-44,All,12,4.38,0.843,36
41,Food,YouTube,E-commerce,1087,31,2025-11-26,2025-12-27,10000,0.037,"[""Video"", ""Reel"", ""Blog""]",False,13-17,Male,9,4.07,0.739,23
42,Fashion,LinkedIn,Beauty & Cosmetics,1063,7,2025-11-16,2025-11-23,1000,0.018,"[""Reel""]",True,18-24,Female,7,2.68,0.772,16
43,Music,YouTube,Entertainment,554,26,2025-12-03,2025-12-29,10000,0.027,"[""Reel"", ""Blog"", ""Story""]",False,18-24,Male,9,1.81,0.716,28
44,DIY,Twitter,Travel & Tourism,815,34,2026-01-06,2026-02-09,10000,0.05,"[""Post"", ""Reel""]",False,18-24,Male,11,4.0,0.666,25
45,Fashion,LinkedIn,E-commerce,3894,27,2025-11-13,2025-12-10,5000,0.02,"[""Video"", ""Story"", ""Post""]",False,35-44,Female,9,4.51,0.9,19
46,Parenting,YouTube,Health & Wellness,529,8,2025-11-30,2025-12-08,1000,0.017,"[""Story"", ""Video"", ""Reel""]",True,13-17,All,9,3.7,0.856,10
47,Parenting,Twitter,Home & Garden,562,22,2025-12-19,2026-01-10,5000,0.031,"[""Blog"", ""Reel"", ""Video""]",False,35-44,Male,10,4.83,0.866,15
48,Beauty,Facebook,Home & Garden,2335,55,2025-11-30,2026-01-24,1000,0.022,"[""Story"", ""Blog"", ""Reel""]",True,65+,Female,9,2.45,0.833,19
49,Travel,Instagram,E-commerce,701,20,2025-12-28,2026-01-17,1000,0.014,"[""Post"", ""Blog""]",True,13-17,All,10,4.17,0.886,11
50,Art,YouTube,Automotive,1355,18,2026-02-02,2026-02-20,5000,0.044,"[""Story"", ""Reel"", ""Video""]",False,55-64,Female,12,4.0,0.823,32
51,Business,Twitter,Home & Garden,809,24,2026-01-30,2026-02-23,10000,0.03,"[""Reel"", ""Blog"", ""Story""]",False,25-34,All,10,4.23,0.815,39
52,Art,Instagram,Finance,655,9,2025-12-29,2026-01-07,10000,0.046,"[""Story"", ""Reel"", ""Blog""]",False,55-64,Male,13,2.94,0.752,22
53,Lifestyle,TikTok,Beauty & Cosmetics,646,17,2026-02-05,2026-02-22,50000,0.021,"[""Video"", ""Story"", ""Post"", ""Reel""]",False,55-64,Female,13,4.17,0.931,53
54,Health,TikTok,Automotive,722,32,2025-11-23,2025-12-25,10000,0.028,"[""Video""]",False,65+,All,14,3.59,0.731,60
55,Sports,Instagram,Health & Wellness,618,60,2026-02-03,2026-04-04,10000,0.035,"[""Reel"", ""Video"", ""Blog"", ""Post""]",True,25-34,Male,11,3.62,0.92,18
56,Entertainment,TikTok,Finance,1665,34,2025-12-02,2026-01-05,50000,0.036,"[""Story"", ""Reel""]",False,65+,Male,8,3.7,0.714,4
57,Parenting,TikTok,Fashion,622,35,2025-11-24,2025-12-29,10000,0.031,"[""Video"", ""Blog""]",False,45-54,All,10,3.83,0.88,6
58,Health,TikTok,Real Estate,939,13,2025-12-07,2025-12-20,5000,0.02,"[""Blog"", ""Reel""]",False,45-54,Female,16,4.6,0.461,8
59,Education,Twitter,E-commerce,2952,12,2025-12-13,2025-12-25,1000,0.047,"[""Post"", ""Story"", ""Reel""]",True,18-24,Female,11,4.72,0.681,25
60,Education,YouTube,Technology,2084,29,2025-12-09,2026-01-07,10000,0.04,"[""Blog"", ""Video""]",True,55-64,Female,14,4.59,0.821,24
61,Parenting,TikTok,Automotive,9992,8,2025-12-18,2025-12-26,50000,0.049,"[""Story""]",False,13-17,Male,6,2.51,0.913,24
62,DIY,YouTube,Technology,884,14,2025-12-08,2025-12-22,5000,0.029,"[""Story"", ""Reel"", ""Post""]",False,55-64,Female,14,3.82,0.897,34
63,Education,TikTok,Finance,572,48,2026-01-27,2026-03-16,10000,0.049,"[""Blog"", ""Reel"", ""Video""]",True,18-24,Female,10,2.78,0.75,59
64,Technology,YouTube,Finance,692,43,2025-12-10,2026-01-22,10000,0.031,"[""Video"", ""Blog""]",True,13-17,Female,17,3.59,0.973,26
65,Fitness,TikTok,Technology,532,16,2025-12-08,2025-12-24,5000,0.019,"[""Video""]",True,25-34,Male,6,3.5,0.925,59
66,Beauty,YouTube,Travel & Tourism,860,50,2025-11-16,2026-01-05,5000,0.01,"[""Video"", ""Post"", ""Reel"", ""Blog""]",True,18-24,Female,14,4.11,0.921,15
67,Technology,YouTube,Travel & Tourism,1957,30,2026-02-04,2026-03-06,10000,0.034,"[""Blog"", ""Story"", ""Post""]",False,13-17,All,8,4.66,0.674,25
68,Travel,TikTok,Automotive,1486,29,2025-12-30,2026-01-28,10000,0.037,"[""Story"", ""Reel"", ""Video"", ""Post""]",False,45-54,Male,6,1.61,0.934,46
69,Food,Facebook,Automotive,641,10,2026-02-07,2026-02-17,10000,0.044,"[""Reel""]",True,13-17,Male,9,4.85,0.836,17
70,Sports,Facebook,Entertainment,727,29,2026-02-09,2026-03-10,5000,0.03,"[""Story"", ""Reel"", ""Post"", ""Blog""]",True,65+,Female,13,4.26,0.815,38
71,DIY,TikTok,Food & Beverage,853,31,2025-11-24,2025-12-25,10000,0.015,"[""Blog"", ""Post"", ""Reel""]",True,35-44,All,11,4.01,0.787,69
72,Travel,LinkedIn,Automotive,4742,59,2025-11-25,2026-01-23,100000,0.05,"[""Reel""]",True,65+,Female,13,4.72,0.866,19
73,Health,Twitter,Automotive,800,55,2025-11-29,2026-01-23,5000,0.041,"[""Blog""]",True,13-17,Male,8,3.6,0.895,19
74,Entertainment,Facebook,Technology,1153,21,2026-01-12,2026-02-02,10000,0.05,"[""Reel"", ""Blog""]",False,35-44,Female,8,4.1,0.701,19
75,Health,Twitter,Travel & Tourism,561,30,2026-01-23,2026-02-22,10000,0.046,"[""Reel"", ""Story""]",False,35-44,All,7,3.21,0.87,64
76,Fashion,LinkedIn,Travel & Tourism,945,11,2025-12-26,2026-01-06,5000,0.04,"[""Reel""]",False,18-24,All,7,4.97,0.768,61
77,Art,Facebook,Technology,792,28,2026-01-07,2026-02-04,10000,0.036,"[""Reel"", ""Post"", ""Blog"", ""Story""]",True,25-34,All,9,4.38,0.761,9
78,Food,TikTok,Gaming,1249,17,2025-12-13,2025-12-30,50000,0.03,"[""Video"", ""Story"", ""Reel""]",False,35-44,Male,15,4.29,0.872,23
79,Health,Twitter,Travel & Tourism,3680,7,2025-11-20,2025-11-27,5000,0.031,"[""Story"", ""Blog""]",False,65+,Male,11,2.18,0.655,17
80,Education,Twitter,Real Estate,1234,10,2025-12-02,2025-12-12,1000,0.04,"[""Story"", ""Video"", ""Post"", ""Blog""]",False,55-64,Female,9,4.59,0.784,60
81,Pets,LinkedIn,Travel & Tourism,516,10,2026-01-12,2026-01-22,5000,0.011,"[""Story""]",False,35-44,Male,9,4.03,0.706,75
82,Music,Twitter,Technology,5176,42,2025-12-27,2026-02-07,100000,0.037,"[""Story"", ""Blog"", ""Video""]",False,55-64,Female,12,1.8,0.799,10
83,Art,Twitter,Entertainment,4936,15,2025-12-31,2026-01-15,1000,0.01,"[""Post""]",False,13-17,Female,10,3.78,0.95,82
84,Gaming,TikTok,Travel & Tourism,7236,64,2025-12-04,2026-02-06,1000,0.04,"[""Video""]",True,13-17,All,12,2.83,0.909,35
85,Beauty,Twitter,Sports,527,23,2026-01-03,2026-01-26,50000,0.049,"[""Blog"", ""Video"", ""Post""]",False,45-54,All,9,3.62,0.903,5
86,Health,LinkedIn,Real Estate,789,34,2026-01-16,2026-02-19,50000,0.029,"[""Blog""]",True,55-64,All,10,2.55,0.794,75
87,Business,Facebook,Technology,779,34,2025-12-20,2026-01-23,5000,0.015,"[""Reel"", ""Blog""]",False,45-54,Female,11,4.1,0.774,111
88,Fashion,YouTube,Automotive,501,31,2025-11-17,2025-12-18,5000,0.027,"[""Blog"", ""Reel"", ""Post""]",False,45-54,Female,13,3.17,0.955,62
89,Photography,LinkedIn,Health & Wellness,1994,7,2026-01-04,2026-01-11,10000,0.034,"[""Video"", ""Post"", ""Blog""]",False,55-64,Female,13,3.55,0.856,3
90,Music,Instagram,Sports,4295,7,2026-01-01,2026-01-08,1000,0.014,"[""Blog"", ""Story"", ""Reel"", ""Post""]",True,65+,Male,9,4.01,0.749,29
91,Pets,YouTube,Education,8017,44,2025-11-15,2025-12-29,1000,0.013,"[""Post"", ""Blog"", ""Story"", ""Video""]",False,25-34,Female,3,3.23,0.701,32
92,Art,Facebook,Fashion,1045,37,2026-02-08,2026-03-17,10000,0.037,"[""Story"", ""Blog"", ""Video""]",False,35-44,All,15,3.86,0.932,87
93,Lifestyle,LinkedIn,Travel & Tourism,827,23,2026-01-06,2026-01-29,1000,0.022,"[""Blog""]",False,65+,Male,10,3.62,0.9,37
94,Fitness,LinkedIn,Home & Garden,641,18,2025-11-26,2025-12-14,1000,0.04,"[""Story""]",True,18-24,Male,11,3.08,0.852,46
95,Fitness,Twitter,Food & Beverage,4220,22,2026-01-02,2026-01-24,5000,0.011,"[""Post"", ""Reel"", ""Blog"", ""Video""]",False,13-17,All,8,4.29,0.706,32
96,Technology,YouTube,Travel & Tourism,508,21,2026-01-02,2026-01-23,1000,0.019,"[""Post""]",True,25-34,Male,17,4.19,0.906,102
97,Travel,Instagram,Home & Garden,537,90,2025-12-16,2026-03-16,5000,0.03,"[""Story"", ""Blog"", ""Video""]",True,55-64,All,11,2.59,0.882,20
98,Travel,LinkedIn,Fashion,1656,32,2026-01-25,2026-02-26,50000,0.013,"[""Reel"", ""Post""]",True,45-54,All,8,2.84,0.781,12
99,Food,Instagram,Technology,2158,90,2026-01-02,2026-04-02,10000,0.011,"[""Video"", ""Post"", ""Blog"", ""Reel""]",True,13-17,All,10,2.66,0.76,53
100,Photography,Twitter,Finance,584,13,2025-11-17,2025-11-30,1000,0.02,"[""Story""]",False,13-17,Male,6,4.03,0.699,31
101,Food,Facebook,Health & Wellness,4756,14,2025-12-24,2026-01-07,10000,0.016,"[""Blog"", ""Post"", ""Video""]",False,13-17,All,7,3.69,0.602,28
102,Entertainment,Twitter,Automotive,629,33,2026-02-05,2026-03-10,1000,0.012,"[""Reel"", ""Video"", ""Blog""]",False,55-64,All,4,4.27,0.735,51
103,Fashion,Instagram,Real Estate,1522,59,2026-01-19,2026-03-19,10000,0.014,"[""Post""]",False,55-64,Male,10,4.44,0.676,32
104,DIY,LinkedIn,Gaming,840,55,2026-01-05,2026-03-01,1000,0.019,"[""Post"", ""Video"", ""Story""]",False,65+,Female,15,3.91,0.856,2
105,Travel,YouTube,Beauty & Cosmetics,702,8,2025-12-18,2025-12-26,1000,0.023,"[""Reel"", ""Story""]",False,25-34,Male,10,3.91,0.701,68
106,Parenting,Twitter,Fashion,546,21,2026-01-23,2026-02-13,50000,0.02,"[""Reel""]",True,13-17,Female,10,4.12,0.717,14
107,Sports,LinkedIn,Finance,939,30,2026-01-10,2026-02-09,5000,0.045,"[""Reel"", ""Video"", ""Blog"", ""Post""]",False,13-17,Female,9,2.18,0.742,35
108,Beauty,LinkedIn,Real Estate,859,15,2026-01-12,2026-01-27,10000,0.031,"[""Blog"", ""Video"", ""Post""]",True,18-24,Female,8,3.01,0.525,40
109,Technology,Facebook,Technology,1819,39,2026-01-16,2026-02-24,1000,0.022,"[""Post"", ""Reel""]",True,13-17,Male,8,3.85,0.626,10
110,Photography,YouTube,Automotive,1363,7,2025-11-23,2025-11-30,100000,0.033,"[""Blog""]",True,13-17,All,10,2.69,0.626,46
111,Travel,TikTok,Automotive,570,17,2025-12-27,2026-01-13,50000,0.046,"[""Blog""]",False,55-64,Male,6,3.57,0.81,44
112,Food,YouTube,Technology,3073,29,2026-01-20,2026-02-18,1000,0.021,"[""Post"", ""Video"", ""Reel""]",False,55-64,Male,11,3.1,0.949,80
113,Fashion,TikTok,Sports,645,8,2026-01-31,2026-02-08,10000,0.017,"[""Blog"", ""Story"", ""Post""]",False,25-34,All,8,2.34,0.829,25
114,Fitness,Facebook,Food & Beverage,548,30,2026-01-08,2026-02-07,5000,0.014,"[""Story"", ""Reel""]",False,18-24,All,7,2.2,0.948,34
115,Entertainment,Twitter,Technology,581,21,2025-12-21,2026-01-11,5000,0.037,"[""Reel"", ""Story""]",True,55-64,Male,12,4.16,0.878,43
116,Food,Instagram,Food & Beverage,1246,25,2025-11-13,2025-12-08,5000,0.02,"[""Post"", ""Blog"", ""Story""]",False,35-44,All,9,3.35,0.679,50
117,Finance,LinkedIn,Beauty & Cosmetics,1710,24,2025-12-26,2026-01-19,1000,0.017,"[""Story""]",True,45-54,All,12,2.4,0.92,20
118,Travel,YouTube,Home & Garden,2692,45,2026-01-13,2026-02-27,5000,0.037,"[""Video"", ""Blog""]",False,55-64,Male,13,4.31,0.879,18
119,Gaming,LinkedIn,Gaming,2240,8,2026-01-18,2026-01-26,5000,0.046,"[""Post""]",True,35-44,Female,9,3.09,0.789,75
120,Parenting,Instagram,Fashion,3933,28,2025-11-26,2025-12-24,5000,0.044,"[""Video"", ""Blog"", ""Reel"", ""Story""]",False,55-64,Male,7,1.66,0.989,38
121,Photography,Instagram,Technology,801,18,2025-12-05,2025-12-23,50000,0.026,"[""Reel"", ""Post"", ""Story""]",True,18-24,All,16,3.13,0.794,12
122,Health,TikTok,Gaming,513,14,2026-02-08,2026-02-22,5000,0.014,"[""Story"", ""Video""]",True,35-44,Male,12,4.84,0.804,62
123,Fashion,YouTube,Technology,915,24,2025-11-19,2025-12-13,100000,0.038,"[""Post"", ""Reel"", ""Blog"", ""Story""]",False,55-64,Female,11,3.84,0.842,16
124,Travel,LinkedIn,Sports,751,7,2025-12-16,2025-12-23,10000,0.031,"[""Post"", ""Reel"", ""Video""]",False,13-17,Female,9,4.17,0.899,40
125,Travel,Instagram,Travel & Tourism,545,7,2026-01-28,2026-02-04,1000,0.023,"[""Blog"", ""Reel"", ""Post""]",False,13-17,All,10,4.11,0.674,22
126,Education,Instagram,Finance,8434,12,2026-01-18,2026-01-30,10000,0.013,"[""Reel""]",False,65+,Female,13,2.74,0.774,11
127,Fashion,Facebook,Beauty & Cosmetics,1154,33,2026-01-26,2026-02-28,50000,0.036,"[""Blog""]",False,25-34,Male,9,3.13,0.698,28
128,Pets,TikTok,Entertainment,885,18,2025-12-27,2026-01-14,5000,0.01,"[""Video"", ""Blog""]",True,13-17,Male,10,3.56,0.814,35
129,Business,Facebook,Beauty & Cosmetics,2653,7,2025-11-24,2025-12-01,1000,0.046,"[""Video"", ""Blog"", ""Reel"", ""Story""]",True,13-17,All,10,4.07,0.855,23
130,Fashion,Facebook,Automotive,855,46,2025-11-22,2026-01-07,1000,0.011,"[""Story"", ""Post"", ""Reel""]",False,35-44,Female,15,4.27,0.707,56
131,Music,LinkedIn,Beauty & Cosmetics,1854,14,2026-02-02,2026-02-16,10000,0.024,"[""Post""]",False,25-34,All,10,2.35,0.867,23
132,Lifestyle,TikTok,Health & Wellness,664,26,2025-12-23,2026-01-18,10000,0.012,"[""Post"", ""Blog"", ""Story""]",True,18-24,Female,9,3.75,0.865,54
133,Food,Twitter,Automotive,2005,90,2026-01-10,2026-04-10,5000,0.044,"[""Blog"", ""Video""]",False,18-24,All,13,3.99,0.885,16
134,Technology,Facebook,Technology,587,21,2026-02-09,2026-03-02,100000,0.033,"[""Blog"", ""Post""]",False,13-17,All,6,4.12,0.566,61
135,Pets,YouTube,Technology,2334,10,2025-12-18,2025-12-28,1000,0.024,"[""Post"", ""Reel""]",True,13-17,Male,7,4.15,0.758,24
136,Food,Instagram,Sports,503,21,2026-01-23,2026-02-13,1000,0.012,"[""Story"", ""Reel""]",True,13-17,Female,10,3.57,0.91,14
137,Travel,Twitter,Education,914,18,2026-01-20,2026-02-07,10000,0.014,"[""Post"", ""Blog""]",True,45-54,All,8,3.77,0.862,43
138,Beauty,TikTok,E-commerce,510,90,2026-01-15,2026-04-15,5000,0.012,"[""Story"", ""Reel"", ""Post"", ""Blog"", ""Video""]",False,13-17,Male,7,3.12,0.834,55
139,Business,LinkedIn,Real Estate,2268,43,2025-11-25,2026-01-07,50000,0.017,"[""Reel"", ""Video"", ""Post""]",True,55-64,Male,9,4.3,0.719,41
140,Entertainment,Instagram,Automotive,1700,41,2026-01-15,2026-02-25,50000,0.032,"[""Video"", ""Reel""]",False,45-54,Female,16,4.42,0.767,38
141,Entertainment,Facebook,Entertainment,590,16,2025-12-25,2026-01-10,10000,0.018,"[""Blog""]",False,45-54,Female,11,3.51,0.739,39
142,Travel,LinkedIn,Automotive,867,9,2025-12-01,2025-12-10,1000,0.017,"[""Post"", ""Story"", ""Video""]",False,65+,Male,7,4.15,0.917,8
143,Entertainment,LinkedIn,Automotive,567,7,2025-11-20,2025-11-27,5000,0.03,"[""Blog"", ""Post"", ""Story""]",True,55-64,Female,10,4.64,0.784,55
144,Pets,LinkedIn,Fashion,512,54,2025-12-15,2026-02-07,10000,0.02,"[""Story"", ""Post""]",False,45-54,Male,6,3.23,0.864,32
145,Gaming,Instagram,Gaming,945,16,2025-11-19,2025-12-05,5000,0.011,"[""Reel"", ""Blog""]",True,55-64,Female,11,3.23,0.864,19
146,Business,LinkedIn,Entertainment,650,19,2026-01-02,2026-01-21,5000,0.021,"[""Video"", ""Blog"", ""Story"", ""Post""]",True,45-54,Female,15,4.26,0.476,9
147,Technology,TikTok,Travel & Tourism,515,7,2025-12-06,2025-12-13,1000,0.034,"[""Video"", ""Post""]",False,13-17,Female,14,4.35,0.738,21
148,Beauty,Facebook,Technology,862,28,2025-11-29,2025-12-27,1000,0.019,"[""Post"", ""Video"", ""Story"", ""Reel""]",True,25-34,Male,10,3.96,0.777,32
149,Business,Twitter,Gaming,1724,20,2025-12-27,2026-01-16,5000,0.015,"[""Post"", ""Story"", ""Blog""]",False,55-64,Male,12,2.37,0.865,20
150,Pets,Instagram,Beauty & Cosmetics,2182,11,2026-01-18,2026-01-29,5000,0.035,"[""Reel""]",True,18-24,Female,10,4.36,0.736,20
151,Entertainment,Facebook,Sports,560,45,2025-11-26,2026-01-10,5000,0.036,"[""Story"", ""Video""]",True,35-44,All,13,3.57,0.63,28
152,Technology,TikTok,Sports,5250,21,2025-12-12,2026-01-02,5000,0.021,"[""Story"", ""Blog""]",True,13-17,All,8,3.45,0.941,86
153,Finance,LinkedIn,Travel & Tourism,743,63,2026-01-18,2026-03-22,10000,0.022,"[""Story"", ""Reel"", ""Video""]",True,45-54,All,8,4.24,0.908,41
154,Business,YouTube,Health & Wellness,534,16,2026-01-12,2026-01-28,100000,0.031,"[""Blog"", ""Video""]",True,18-24,Female,6,3.51,0.715,13
155,Food,Facebook,Travel & Tourism,801,13,2026-01-14,2026-01-27,5000,0.012,"[""Story"", ""Blog"", ""Reel""]",False,55-64,Female,14,2.33,0.657,39
156,Business,LinkedIn,Automotive,4293,52,2025-12-23,2026-02-13,1000,0.028,"[""Post""]",False,18-24,All,5,3.85,0.922,4
157,Music,Instagram,Home & Garden,538,9,2025-12-29,2026-01-07,1000,0.036,"[""Blog"", ""Story"", ""Reel""]",False,45-54,Female,8,4.19,0.613,2
158,Art,YouTube,Real Estate,12987,37,2026-01-05,2026-02-11,1000,0.015,"[""Blog""]",False,65+,All,10,3.09,0.548,71
159,Sports,Twitter,Beauty & Cosmetics,822,13,2026-01-31,2026-02-13,1000,0.021,"[""Blog"", ""Reel""]",True,25-34,Male,10,1.83,0.77,36
160,Entertainment,YouTube,Travel & Tourism,3658,10,2025-11-17,2025-11-27,10000,0.016,"[""Blog"", ""Story""]",True,25-34,All,13,2.87,0.97,49
161,Health,LinkedIn,Health & Wellness,1538,49,2025-12-14,2026-02-01,1000,0.013,"[""Story"", ""Blog""]",True,45-54,Male,5,3.01,0.74,16
162,Pets,LinkedIn,Education,745,47,2026-01-24,2026-03-12,1000,0.027,"[""Video"", ""Blog"", ""Story"", ""Post""]",False,65+,Male,6,3.74,0.8,10
163,Business,YouTube,Health & Wellness,1407,37,2026-01-11,2026-02-17,10000,0.023,"[""Story"", ""Blog""]",False,65+,Female,9,4.3,0.775,56
164,Fashion,Twitter,Automotive,1157,33,2026-01-09,2026-02-11,10000,0.039,"[""Story"", ""Post""]",True,65+,Male,8,4.39,0.856,53
165,Art,Twitter,Food & Beverage,1288,37,2026-01-11,2026-02-17,1000,0.016,"[""Story"", ""Reel""]",False,65+,Male,14,2.65,0.938,59
166,Gaming,TikTok,Real Estate,6269,29,2026-01-09,2026-02-07,1000,0.027,"[""Story"", ""Post""]",False,25-34,Female,11,2.45,0.811,34
167,Travel,TikTok,Home & Garden,1754,8,2025-11-26,2025-12-04,1000,0.031,"[""Reel"", ""Story""]",False,65+,Female,8,3.65,0.975,44
168,Travel,Twitter,Technology,7721,35,2025-11-30,2026-01-04,1000,0.012,"[""Blog"", ""Video""]",False,18-24,Male,9,4.05,0.85,86
